model_name,min_embedding_sim,candidate_n,lexical_prefilter_n,semantic_kept_n,top50_unique_titles,top50_unique_sources,top50_dup_ratio,top50_mean_hybrid,top50_mean_embedding,top50_heuristic_precision
BAAI/bge-large-en-v1.5,0.45,119855,5000,3162,42,39,0.16000000000000003,0.5927167196248091,0.6905960440635681,0.7
BAAI/bge-large-en-v1.5,0.5,119855,5000,2090,42,39,0.16000000000000003,0.5927167196248091,0.6905960440635681,0.7
BAAI/bge-large-en-v1.5,0.55,119855,5000,963,42,39,0.16000000000000003,0.5927167196248091,0.6905960440635681,0.7
BAAI/bge-large-en-v1.5,0.6,119855,5000,408,41,39,0.18000000000000005,0.5924916498637572,0.6932692563533783,0.72
all-MiniLM-L6-v2,0.45,119855,5000,458,30,42,0.4,0.603423785303239,0.746963130235672,0.94
all-MiniLM-L6-v2,0.5,119855,5000,331,30,42,0.4,0.603423785303239,0.746963130235672,0.94
all-MiniLM-L6-v2,0.55,119855,5000,236,30,42,0.4,0.603423785303239,0.746963130235672,0.94
all-MiniLM-L6-v2,0.6,119855,5000,151,30,42,0.4,0.603423785303239,0.746963130235672,0.94
Qwen/Qwen3-Embedding-0.6B,0.6,119855,5000,736,43,42,0.14,0.6361003139525202,0.7431890714168549,0.62
